participantID,Butyrate Producers_Sum,Propionate Producers_Sum,Lactate Producers_Sum,Acetate Producers_Sum,Sulfate Reducers_Sum,Methanogens_Sum,Commensal/Probiotic Potential (Gut Flora)_Sum,Oral Commensal/Opportunistic (Oral Flora)_Sum,General Environmental/Industrial Bacteria_Sum,Enteric Bacteria (Opportunistic/Pathogenic)_Sum,General Anaerobes (Gut/Other Sites)_Sum,Pathogens (Various Sites)_Sum,Fungi_Sum,Protozoa_Sum,Viruses_Sum,Nematodes_Sum,Microbial Consortia/Unclassified_Sum
1,62.0,87.0,37.0,44.0,5.0,0.0,10.0,30.0,5.0,3.0,18.0,0.0,1.0,0.0,0.0,0.0,7.0
2,46.0,70.0,4.0,26.0,6.0,0.0,7.0,17.0,4.0,1.0,14.0,1.0,0.0,3.0,2.0,0.0,6.0
3,59.0,82.0,16.0,43.0,3.0,0.0,10.0,21.0,5.0,3.0,16.0,0.0,1.0,1.0,1.0,0.0,6.0
4,47.0,58.0,14.0,28.0,0.0,0.0,3.0,31.0,6.0,7.0,13.0,0.0,2.0,1.0,1.0,0.0,1.0
5,54.0,74.0,8.0,27.0,0.0,0.0,2.0,15.0,3.0,22.0,14.0,0.0,0.0,0.0,1.0,0.0,1.0
6,39.0,75.0,16.0,31.0,5.0,0.0,6.0,10.0,4.0,12.0,13.0,1.0,0.0,1.0,0.0,0.0,5.0
7,49.0,74.0,20.0,36.0,5.0,0.0,9.0,11.0,4.0,9.0,13.0,0.0,1.0,0.0,1.0,0.0,6.0
8,60.0,75.0,5.0,39.0,3.0,0.0,11.0,36.0,4.0,7.0,17.0,1.0,0.0,1.0,2.0,0.0,6.0
9,48.0,69.0,13.0,22.0,3.0,0.0,5.0,14.0,2.0,6.0,13.0,0.0,0.0,1.0,0.0,0.0,4.0
10,42.0,65.0,14.0,28.0,3.0,0.0,7.0,8.0,2.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,4.0
11,48.0,69.0,8.0,17.0,4.0,0.0,5.0,7.0,4.0,30.0,12.0,0.0,1.0,1.0,0.0,0.0,4.0
12,47.0,61.0,4.0,24.0,3.0,0.0,5.0,10.0,3.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0
13,45.0,71.0,8.0,28.0,5.0,0.0,6.0,20.0,5.0,2.0,11.0,1.0,1.0,0.0,1.0,0.0,7.0
14,58.0,72.0,13.0,32.0,6.0,0.0,8.0,16.0,5.0,7.0,16.0,2.0,1.0,0.0,1.0,0.0,13.0
15,50.0,69.0,22.0,40.0,4.0,0.0,7.0,12.0,6.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,8.0
16,50.0,78.0,22.0,35.0,3.0,1.0,7.0,21.0,9.0,9.0,20.0,1.0,0.0,1.0,0.0,0.0,8.0
17,57.0,68.0,16.0,34.0,0.0,0.0,5.0,18.0,5.0,1.0,21.0,0.0,0.0,1.0,0.0,0.0,6.0
18,50.0,63.0,5.0,36.0,0.0,0.0,3.0,38.0,7.0,9.0,13.0,1.0,1.0,2.0,0.0,1.0,5.0
19,8.0,3.0,4.0,6.0,0.0,0.0,6.0,7.0,5.0,1.0,2.0,0.0,3.0,0.0,3.0,0.0,2.0
20,17.0,27.0,21.0,7.0,1.0,0.0,7.0,11.0,4.0,25.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
21,13.0,18.0,10.0,6.0,1.0,0.0,4.0,8.0,2.0,7.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
22,7.0,22.0,0.0,3.0,1.0,0.0,5.0,6.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
23,7.0,23.0,17.0,2.0,1.0,0.0,4.0,6.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,9.0,22.0,25.0,6.0,1.0,0.0,4.0,14.0,2.0,9.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
27,11.0,25.0,11.0,5.0,0.0,0.0,6.0,11.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0
28,8.0,24.0,16.0,3.0,0.0,0.0,6.0,16.0,1.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
29,15.0,29.0,12.0,8.0,0.0,0.0,6.0,2.0,2.0,21.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0
30,9.0,25.0,15.0,3.0,1.0,0.0,4.0,4.0,1.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
31,6.0,22.0,2.0,1.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
32,6.0,22.0,12.0,3.0,0.0,0.0,4.0,6.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0
33,13.0,25.0,22.0,5.0,0.0,0.0,4.0,8.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
34,15.0,32.0,9.0,8.0,0.0,0.0,5.0,8.0,0.0,6.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
35,10.0,25.0,8.0,2.0,1.0,0.0,6.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
36,13.0,28.0,9.0,2.0,2.0,0.0,7.0,3.0,1.0,2.0,2.0,2.0,3.0,0.0,2.0,0.0,2.0
38,5.0,25.0,8.0,1.0,0.0,0.0,3.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
39,15.0,26.0,13.0,3.0,1.0,0.0,7.0,2.0,1.0,6.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0
41,15.0,29.0,17.0,6.0,1.0,0.0,7.0,2.0,3.0,4.0,0.0,0.0,1.0,0.0,5.0,0.0,3.0
42,14.0,28.0,20.0,6.0,0.0,0.0,6.0,19.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
43,8.0,23.0,11.0,3.0,0.0,1.0,7.0,5.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0
44,9.0,23.0,2.0,3.0,0.0,0.0,6.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
45,9.0,28.0,11.0,6.0,0.0,0.0,6.0,7.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0
46,12.0,22.0,5.0,6.0,1.0,0.0,4.0,4.0,2.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0
47,14.0,28.0,6.0,6.0,0.0,0.0,5.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,14.0,28.0,16.0,3.0,2.0,0.0,8.0,9.0,2.0,42.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0
